Doctor ID,Name,Specialization,Experience (Years),Hospital,Contact,Email
D0001,Anna Carter,Dermatologist,9,City Hospital,+1-417-969-5609x0659,cherryheather@hotmail.com
D0002,Seth Ramos,Cardiologist,9,City Hospital,(433)792-6555x4518,richardbrooke@gmail.com
D0003,Catherine Mathis,General Physician,19,City Hospital,+1-388-159-9571x1419,henrylawson@guzman.com
D0004,Richard Sims,General Physician,24,Apollo Health,299-063-6098x16929,ashleyscott@yahoo.com
D0005,Leonard Ewing,Pediatrician,26,Sunrise Hospital,001-542-146-3296,valerieyoder@hotmail.com
D0006,Mike Aguilar,General Physician,24,Apollo Health,792.087.6467,flopez@gmail.com
D0007,Makayla Zuniga,Neurologist,15,Sunrise Hospital,065-084-9623,elizabeth86@hotmail.com
D0008,Christine Smith,Orthopedic,5,Sunrise Hospital,4080995329,julia62@gmail.com
D0009,Teresa Peck,Oncologist,39,City Hospital,001-929-116-1456x80917,richard63@davis.info
D0010,Jonathan Waller,Cardiologist,14,Metro Medical Center,225.905.0216x442,rsmith@yahoo.com
D0011,Lisa Mcdowell,Oncologist,24,Apollo Health,(057)894-6185x0981,bperry@yahoo.com
D0012,Keith Johnson,Orthopedic,3,City Hospital,337-762-5817x516,thompsonsheila@hotmail.com
D0013,David Christensen,Orthopedic,25,Metro Medical Center,(147)256-4359x72890,stephen29@berry.com
D0014,David Young,Cardiologist,5,Apollo Health,191.168.8827,marcus02@yahoo.com
D0015,Carla Brooks,Neurologist,33,City Hospital,9907339183,kathleenwoodard@torres.com
D0016,Tonya White,Dermatologist,23,Global Health Clinic,3658955744,alexandracurtis@gmail.com
D0017,Thomas White,General Physician,7,Apollo Health,+1-879-310-0830x252,harrisonjames@mccoy-boone.com
D0018,Eric Rubio,Orthopedic,36,Sunrise Hospital,867-132-0505x004,catherinehughes@sanchez.net
D0019,Jeffrey Howell,Cardiologist,1,Medicare Hub,9157347009,rose97@hotmail.com
D0020,Omar Jackson,Oncologist,24,Medicare Hub,298.781.9385,qmathews@chambers.com
D0021,Rachel Mendez,Neurologist,7,Apollo Health,7492408896,christina66@hotmail.com
D0022,Christopher Manning,Orthopedic,3,Sunrise Hospital,870-436-8934x10762,theresacohen@hotmail.com
D0023,Kelly Freeman,Pediatrician,10,Metro Medical Center,9258514158,hicksamy@butler.com
D0024,Jennifer Hunt,Oncologist,4,Sunrise Hospital,001-851-516-1198x912,aaroncarter@hotmail.com
D0025,Olivia Nelson,Neurologist,24,Apollo Health,0374492880,courtney84@blake.org
D0026,Brianna Holmes,Neurologist,39,Medicare Hub,276.608.3732,stevenjames@elliott.com
D0027,Matthew Reynolds,General Physician,3,Global Health Clinic,3271516036,gregory52@garrison.com
D0028,John Williams,Dermatologist,28,Apollo Health,001-255-650-2604x7494,earl35@yahoo.com
D0029,Christopher Miller,Neurologist,2,Apollo Health,+1-360-846-9901,william45@wells.com
D0030,Katie Clark,Cardiologist,10,Global Health Clinic,4684163886,brownbrian@yahoo.com
